#bodies, #contacts, contact detection, warmstart, full LCP solve, single iteration PGS, contactOrdering, singleItPGS, merging, mergingCheckContacts, mergingCheckMotion, mergingCheckViolation, mergingCheckCycle, mergingBuild, unmerging, unmergingCheckContacts, unmergingCheckMotion, unmergingCheckCycle, unmergingBuild, computeTime
40,640,5.44E-04,8.37E-05,0.0116105,0.0018577,5.88E-05,0.0013129,2.48E-04,1.00E-06,9.00E-07,4.00E-07,0,1.34E-04,9.41E-04,0,0,6.00E-07,7.64E-04,0.0159018
40,640,5.24E-04,7.76E-05,0.0106337,0.001876,5.72E-05,0.0013304,6.30E-06,0,0,0,0,0,9.81E-04,0,0,2.00E-07,7.15E-04,0.0146672
40,640,5.51E-04,8.39E-05,0.010717,0.0022629,5.87E-05,0.0015772,6.60E-06,0,0,0,0,0,7.49E-04,0,0,7.00E-07,5.63E-04,0.0150113
36,552,5.68E-04,7.48E-05,0.010762,0.0023837,5.64E-05,0.001633,4.41E-04,7.00E-07,1.20E-06,5.00E-07,3.00E-07,1.87E-04,7.01E-04,0,0,3.00E-07,5.12E-04,0.0154996
29,468,4.99E-04,6.86E-05,0.0093127,0.0018777,5.60E-05,0.0013033,5.16E-04,1.00E-06,1.50E-06,6.00E-07,2.00E-07,2.89E-04,6.34E-04,0,0,4.00E-07,4.50E-04,0.0134826
29,468,4.52E-04,8.93E-05,0.0078253,0.0021,1.06E-04,0.0014292,5.40E-06,0,0,0,0,0,5.81E-04,0,0,4.00E-07,3.90E-04,0.0115579
29,468,4.59E-04,4.70E-05,0.0079308,0.0020981,6.21E-05,0.0014875,4.80E-06,0,0,0,0,0,5.70E-04,0,0,1.00E-07,3.70E-04,0.0117
29,468,4.44E-04,4.93E-05,0.007667,0.0018567,5.40E-05,0.0012792,4.80E-06,0,0,0,0,0,6.24E-04,0,0,4.00E-07,4.41E-04,0.0112352
29,468,5.38E-04,4.96E-05,0.0079136,0.0021268,4.95E-05,0.0014642,4.70E-06,0,0,0,0,0,6.89E-04,0,0,5.00E-07,4.86E-04,0.0118943
29,468,4.59E-04,5.17E-05,0.0079021,0.0021013,5.34E-05,0.0014935,5.20E-06,0,0,0,0,0,6.25E-04,0,0,3.00E-07,4.47E-04,0.0117085
29,468,4.27E-04,1.16E-04,0.0092044,0.0023029,9.56E-05,0.0015633,5.60E-06,0,0,0,0,0,8.09E-04,0,0,2.00E-07,4.83E-04,0.013357
20,360,4.82E-04,7.22E-05,0.0090191,0.0024926,9.63E-05,0.0019051,6.92E-04,1.20E-06,2.30E-06,7.00E-07,2.00E-07,4.13E-04,7.72E-04,0,0,6.00E-07,5.33E-04,0.0140535
16,312,4.77E-04,3.45E-05,0.0061611,0.0020532,4.80E-05,0.0015888,3.40E-04,7.00E-07,1.50E-06,4.00E-07,1.00E-07,2.59E-04,6.51E-04,0,0,6.00E-07,4.07E-04,0.0101732
9,228,7.99E-04,8.22E-05,0.0085816,0.0032622,9.72E-05,0.002232,6.65E-04,1.60E-06,2.40E-06,8.00E-07,6.00E-07,4.71E-04,0.0013503,0,0,7.00E-07,0.0010922,0.0152741
9,228,6.96E-04,5.59E-05,0.0063613,0.0032589,1.15E-04,0.0023811,4.90E-06,0,0,0,0,0,8.81E-04,0,0,9.00E-07,6.67E-04,0.0118512
9,228,4.38E-04,3.18E-05,0.0040634,0.0027228,5.89E-05,0.0019613,4.30E-06,0,0,0,0,0,5.08E-04,0,0,4.00E-07,2.87E-04,0.008155
9,228,0.0011397,5.76E-05,0.0075953,0.0035966,1.39E-04,0.002614,8.30E-06,0,0,9.00E-07,0,0,9.18E-04,0,0,1.10E-06,6.31E-04,0.0140556
8,216,4.62E-04,2.90E-05,0.0044404,0.0022308,6.39E-05,0.0016377,9.06E-05,6.00E-07,2.00E-07,9.00E-07,0,6.67E-05,6.04E-04,0,0,6.00E-07,3.65E-04,0.00828
6,192,0.0011389,5.01E-05,0.0064939,0.0034753,1.51E-04,0.0024933,2.06E-04,9.00E-07,5.00E-07,1.20E-06,1.00E-07,1.59E-04,0.001122,0,0,1.10E-06,8.52E-04,0.0130252
5,204,4.68E-04,2.14E-05,0.0043516,0.0023233,6.07E-05,0.0017164,1.52E-04,6.00E-07,9.00E-07,1.20E-06,1.00E-07,1.16E-04,0.001044,0,0,9.00E-07,7.77E-04,0.0087139
3,168,3.32E-04,1.72E-05,0.0032369,0.0018781,6.44E-05,0.0014072,1.61E-04,4.00E-07,3.00E-07,4.00E-07,0,1.24E-04,5.23E-04,0,0,5.00E-07,3.59E-04,0.0064662
2,0,8.20E-04,2.75E-05,0.0049467,0.002827,1.05E-04,0.0020444,4.82E-04,6.00E-07,7.00E-07,3.00E-07,0,3.77E-04,7.50E-04,0,0,1.00E-06,5.07E-04,0.0103796
3,24,1.80E-05,4.00E-07,8.10E-04,0.0031412,9.92E-05,0.0022381,2.90E-06,0,0,2.00E-07,0,0,0.001917,0,0,1.00E-06,0.0016425,0.0062141
3,24,5.69E-05,6.30E-06,7.82E-04,0.0034508,1.41E-04,0.0025504,3.20E-06,0,0,0,0,0,6.96E-04,0,0,1.40E-06,3.44E-04,0.0055458
3,24,1.71E-04,6.20E-06,7.98E-04,0.0034931,1.11E-04,0.0025813,3.00E-06,0,0,0,0,0,6.29E-04,0,0,9.00E-07,3.36E-04,0.0054375
3,24,3.32E-05,3.40E-06,4.87E-04,0.0022449,6.95E-05,0.001452,3.00E-06,0,0,3.00E-07,0,0,4.41E-04,0,0,7.00E-07,2.36E-04,0.0035076
4,48,2.91E-05,3.60E-06,7.22E-04,0.0019954,5.60E-05,0.0012623,2.80E-06,0,0,4.00E-07,0,0,9.18E-04,0,0,7.00E-07,7.49E-04,0.0038822
